Word,Meaning
blossomed,lulëzuar
blossoming,duke lulëzuar
blossoms,lulëzimet
blot,njollë
blotch,njollë
blots,njolla
blotted,njollosur
blotting,duke njollosur
blow,godas; fryj
blowed,goditur; fryrë
blower,ventilator
blowers,ventilatorë
blowing,"duke fryrë, shpërthyer"
blown,shpërthyer
blows,shpërthen; fryn
blubbered,qan me ngashërim
blubbering,duke qarë me ngashërim
blue,blu
blueprint,"skicat, planet"
blues,blu
bluff,bllof
bluish,në ngjyrë blu
blunder,gabim trashanik
blunders,gabime trashanike
blunt,"i thjeshtë, thjeshtësoj, zbus"
blunted,thjeshtuar
blunting,duke thjeshtuar
bluntly,në mënyrë të thjeshtë
bluntness,thjeshtësi
blunts,thjeshton
blur,"i turbulltë, i mjegulltë"
blurs,mjegull
blurted,pa menduar
blush,turpërohem
blushed,skuqur; turpëruar
blushes,turpëron
blushing,duke skuqur; duke turpëruar
bluster,shpërthim
blustered,shpërthyer
blusterer,zhurmaxhi
blustering,duke shpërthyer
blusters,shpërthime
bo,erë e keqe
boar,derr i egër
board,bord; komitet
boarded,mbuluar
boarding,duke mbuluar
boards,bordet
boarish,shtazarake
boars,derra të egër
boast,krenohem; mburem
boasted,mburrur
boaster,mburavec
boastful,mburavec
boastfulness,mburavec
boasting,duke u mburur
boasts,mburet
boat,anije
boats,anijet
boatswain,anije
bob,qethje shkurt
bobbed,qethur shkurt
bobtail,shkurtim
bode,jap shënjë
boded,dhashë shënjë
bodes,jep shënjë
bodice,korsetë
bodied,trupor
bodies,trupat
bodiless,pa trup
bodily,trupor
boding,duke dhënë shënjë
bodkin,gjilpërë e madhe
body,trup
bodyguards,"truprojet, rojet personale"
bodykins,gjilpëra të madha
bog,tokë e lagur
boggle,nguroj
bogs,tokë e lagur
bogus,artificial
bohemia,njerëz me mendime të lira
boil,ziej
boiled,zier
boiled shirt,këmishë e kollarisur
boiling,duke e zier
boils,zien
boisterous,e zhurmëshme
boisterously,në mënyrë të zhurmëshme
bold,guximtar; pa flokë
bolden,jap kurajo
bolder,guximtar; kurajues
boldest,"më kurajozi, më i hapuri"
boldly,në mënyrë kurajuese
boldness,kurajo
boll,kapsulë
bolster,"1. jastëk zbukurimi 2. përforcoj, mbështes"
bolstered,"mbështetur, përforcuar"
bolstering,"duke forcuar, duke mbështetur"
bolt,1. bullonë 2. mbërthej
bolted,mbërthyer
bolting,duke mbërthyer
bolts,bullona
bomb,e. bomb; f. bombardoj
bombard,f. bombardoj
bombardment,bombardim
bombards,bombardon
bombast,fjalë boshe
bombed,bombarduar
bomber,bombardues
bombers,bombarduesit
bombing,duke bombarduar
bombings,"bombardimet, shpërthimet"
bond,lidhje; detyrim; çertifikatë debiti
bondage,1. skllavëri; 2. fasho
bonded,vendos në vend të sigurtë
bondmaid,skllave
bondman,sklav
bondmen,skllevër
bonds,lidhje; detyrime; çertifikata dediti
bone,kocka
boned,kockore
boneless,pa kocka
bones,kockat
bonfire,zjarr i madh
bonfires,zjarre të mëdhenj
bonnet,shami koke
bonneted,mbuluar
bonny,i/e bukur
bony,kockore
boo,fërshëllej (në shënjë proteste)
booby,budalla
booed,fërshëllyer(në shënjë proteste)
book,libër
booked,porositur
bookish,i dhënë pas librave
booklet,libërth
bookmark,shenjë në libër
bookmarked,shënuar
bookmarks,shënjat
books,librat
bookstore,librari
bookstores,libraritë
boom,mirëqenie e shpejtë; shpërthim
booming,duke shpërthyer
boon,favor; kërkesë; përfitim
boor,person i pakulturuar
boorish,i/e pacivilizuar; i/e paedukuar
boors,persona të pakulturuar
boost,shtytje; inkurajim
boosted,"nxitur, ngritur, shtyrë"
boosters,"mbështetësit, përforcuesit"
boosting,duke nxitur
boosts,"shtyn, inkurajon"
boot,çizme
booted,shqelmuar
booths,kioskat
booties,çizme për fëmijë
booting,"duke goditur, filloj, rifilloj"
bootlegging,duke tregëtuar ilegalisht alkol
bootless,i/e panevojshme
boots,çizmet
booty,ndyrësira
border,kufi
bordered,rrethuar
borderers,banorë pranë kufirit
borderline,kufi
borders,kufinjtë
bore,progres; diametër; gropë
bored,i/e mërzitur
boredom,"lodhje, monotoni"
borehole,vrimë ne tokë e hapur me sondë
bores,hap vrimë ne tokë me sondë
boring,i/e painteresuar
born,lindur
borne,mbështetur
borough,bashki; komunë
borrow,marr hua
borrowed,mora hua
borrower,huamarrës
borrowing,duke marrë hua
borrows,merr hua
bosky,pyllëzuar
bosom,kraharor
bosoms,kraharore
boss,punëmarres; pronar
botch,gabim; shkatërrim
botcher,jo profesionist; punëtor i dobët
botches,gabime; shkatërrime
botchy,rrëmujë
both,të dyja
bother,shqetësoj
bothered,mërzitur
bothers,shqetëson
bothersome,i mërzitshëm
bots,robotet
bottle,shishe
bottled,mbyllur në shishe
bottles,shishe
bottom,pjesa më e ulët; bazë
bottom line,arësyeja kryesore
bottomless,pa bazë
bottoms,bazat
bough,degë
boughs,degë
bought,"bleva, blerë, sjellur"
boulder,shkëmb
bounce,shmang; kaloj
bounced,shmangur; kaluar
bouncing,duke shmangur; duke kaluar
bound,lidhur
boundaries,kufinjtë
boundary,kufi
bounded,kufiyuar
bounden,i/e detyruar
bounding,duke kufizuar
boundless,pa kufinj
boundlessly,në mënyrë të pakufizuar
bounds,kufi; limit
bounteous,dorëdhënë; zëmërmirë; bamirëse
bounteously,në mënyrë bamirëse
bounties,bamirësitë
bountiful,bamirëse
bountifully,në mënyrë bamirëse
bounty,bamirësi
bourbon,lloj wiski
bourn,qëllim; objektiv
bout,turn; sesion
bouts,turne; sesione
bow,hark; përkulem
bowed,përkulur; ka luajtur me violinë
bowels,zorrët; të brendëshmet
bower,ankor (për anijet)
bowers,ankore (për anijet)
bowing,duke luajtur me violinë
bowl,1. top; luaj boulling; 2. pjatë e thellë
bowler,lojtar i lojës boulling
bowling,duke luajtur boulling;
bowls,1. topa; luan boulling; 2. pjata të thella
bows,1. harqe; 2. përkulet
bowsprit,shtyllë e vendosur në pjesën e përparme të anijes
box,1. kuti; 2. boks
boxed,luftuar me grushta
boxes,1. kutitë; 2. lufton me grushta
boy,djalë
boycotting,duke e bojkotuar
boyish,djaloshare
boys,djemtë
brabble,zënie; kundërshtim
brabbler,grindavec
brace,përforcoj
braced,përforcuar
bracelet,byzylyk
bracelets,byzylyqe
braces,përforcuesa
brach,qen gjuetie
bracing,duke përforcuar
bracket,parantezë
brackets,"paranteza,[]"
brad,"thumb, gozhdë e vogël"
brag,mburem
braggart,mëndjemadh; arrogant
braggarts,shet mend; mburret
bragged,mburresha
bragging,duke u mburrur
brags,mburret
braid,kordon
braided,lidhur
braids,lidh; përdreth
brain,tru
brained,shkëpus
brainish,i ygjuar
brainless,pa tru; budallallëk
brainpan,skalp
brains,truret
brainsick,i çmendur
brainsickly,i çorientuar
brake,f. frenoj e. frena
brakes,frena
brambles,ferrat
bran,krunde
branch,degë
branched,degëzuar
branches,degët
branchless,pa degë
brand,lloj
branded,marketuar; shënuar
brandish,lëkund
brandished,lëkundur
brandishing,"duke valvitur, tundur"
brands,lloje
brandy,lloj pijeje alkolike
brass,bronx
brassy,i bronxtë
brat,fëmijë i zhurmshëm(mistrec)
brats,fëmijë të zhurmshëm(mistreca)
brave,trim
braved,trim; kurajoz
bravely,në mënyrë kurajoze
braver,trim; kurajoz
bravery,trimëri
bravest,më trimi
brawl,zënje; grindje
brawled,zënë; grindur
brawler,grindavec
brawling,duke u zënë
brawls,zihet
brawn,forcë
brawns,mujkuj
brawny,muskuloz
bray,qarje me ngashërim
brayed,qau me ngashërim
braying,duke qarë me ngashërim
brazed,vesh me bronx
brazen,prej bronxi
brazier,mangall
breach,1. thyej; 2. thyerje;
breached,thyer
breaches,1. thyen; 2. thyerjet;
bread,bukë
breadth,gjërësi
break,thyej
breakdown,rënie
breaker,thyerës
breakers,thyerësa
breakfast,mëngjes
breaking,thyerjet
breakpoint,pikë vendimtare
breakpoints,pikët vendimtare
breaks,thyen
breakthrough,"progres, përparim"
breakup,"thyerje, shkatërrim, dekompozim"
breast,kraharor; gjoks
breasted,përballuar; përballova
breasting,duke përballuar
breastplate,mbrojtëse kraharori
breasts,1. kraharoret; gjokset; 2. përballon
breath,frymë; frymëmarrje
breathe,marr frymë
breathed,mora frymë
breathes,merr frymë
breathing,duke marr frymë
breathings,frymëmarrjet
breathless,pa frymë
breaths,merr frymë
bred,riprodhoj
breech,pantallona të shkurtëra; pjesa e pasme
breeches,pantallona të shkurtëra
breeching,duke veshur pantallonat
breed,1. riprodhoj; 2. lloj; specie
breeding,duke riprodhuar
breeds,riprodhon
breeze,fllad; erë e lehtë
breezes,1. fllad; erë e lehtë 2. fryn erë e lehtë
breezy,me erë
brethren,vëllezër
breton,banues në Britani
bretons,banuesit në Britani
brevity,shkurtësi
brew,lloj pijeje
brewage,lloj pijeje
brewed,përgatis
bribed,kompromentuar
briber,kompromentues
bribes,kompromentoj
brick,tullë
bricklayer,muratorë
bricks,tullat
bridal,nusërore
bride,nuse
bridegroom,dhëndër
bridegrooms,dhëndrat
brides,nuset
bridge,urë
bridges,urërat
bridging,"lidhje, duke lidhur"
bridle,fre
bridled,kufizuar
brief,shkurtër
briefed,njoftuar
briefing,duke përmbledhur
briefings,"përmbledhjet, raportimet"
briefly,shkurtimisht
brigades,brigadat
brigands,hajdutë
bright,qartë
brighten,qartësoj
brightened,ndriçuar
brighter,më qartë
brightest,më i/e qarti
brightly,qartësisht
brightness,qartësi; bardhësi
brilliance,shkëlqim
brilliancy,shkëlqim
brilliant,i shkëlqyer
brim,strehë
brimful,plot
brimming,duke u mbushur
brimstone,sulfur
brindled,"me njolla, shënja"
brine,shëllirë
bring,sjell
bringer,mbartës
bringing,duke sjellur
brings,sjell
brinish,me kripë; kriposur
brink,anë; buzë
brisk,shpejt
briskly,me shpejtësi
bristle,1. flokë të shkurtëra; 2. nxehem(ngrihen qimet përpjëtë)
bristled,nxehur(ngritur qimet përpjëtë)
bristles,nxehet(ngritur qimet përpjëtë)
bristling,duke u nxehur(ngritur qimet përpjëtë)
bristly,me nxehje; me nerva
britain,Britania e Madhe
british,britanik; anglez
briton,britanik; anglez
britons,britanikët; anglezët
brittany,Britania e Madhe
brittle,e brishtë
broach,hap
broached,hapur
broaches,hap
broad,i/e gjërë
broadcast,e. transmetim; f. transmetoj; publikoj; shpall
broader,më i gjërë
broadly,gjërësisht
broadwise,gjërësisht
brock,taksë
brogues,këpucë të rënda fshati
broil,1. zënje; 2. pjek
broiled,pjekur; poqa
broiling,duke pjekur
broils,1. zënje; 2. pjek
broke,"1. theva, 2. i varfër"
broken,"thyer; e prishur, e thyer"
brokenly,në mënyrë të ndërprerë
broker,ndërmjetës
brokers,ndërmjetësat
brokes,thyen
broking,duke ndërmjetësuar
bronze,bronx
brooch,gozhdë e vogël
brood,ruaj
brooded,ruajtur
brooding,duke ruajtur
brook,1. rrëke 2. vuaj
brooked,vuajtur
brooks,1. rrëke 2. vuan
broom,fshesë
brooms,"fshin, pastron"
broomstick,shkop
broth,supë
brothel,bordello; depo
brothels,bordello; depo
brother,vëlla
brotherhood,vëllazëri
brotherhoods,vëllazëri
brotherlike,vllam
brotherly,vëllazërisht
brothers,vëllezërit
broths,supërat
brought,sjellur; solla;
brow,baliuke
brown,kafe (ngjyra kafe)
browner,kaftë
browny,brun
brows,baliuket
browse,kërkoj
browsed,kërkuar; kërkova
browser,kërkues
browsing,duke kërkuar
bruise,plagë
bruised,plagosur
bruises,"plagos, plagët"
bruising,duke plagosur
bruit,publikon
bruited,publikuar
brunt,shqetësim
brush,krëhër; furçë
brushed,krehur
brushes,kreh
brushwood,pres degët
brute,kafshë; i egër; i pagdëndur
brutish,i egër; i pagdëndur
bubble,flluckë
bubbler,"burim, fontanë"
bubblers,burime
bubbles,flluckat
bubbling,duke bërë fllucka
buck,1. mashkull(për kafshët); 2. marr me mendje
bucked,rrezikuar
bucket,shportë
bucketful,plot
buckets,shportat
bucking,duke marë me mendje
buckingham,Pallati Mbretëror në Britani
buckle,lidh; vë rrypin
buckled,lidhur; vura rrypin
buckler,mbrojtës
bucklers,mbrojtëset
buckles,lidhet; vë rrypin
buckram,copë e fortë
bucks,1. meshkuj(për kafshët); 2. merr me mendje
buckwheat,miell gruri
bud,shok; mik
buddies,shokët; miqtë
budge,lëviz
budger,lëvizës
budget,buxhet
budgets,buxhetet
buds,shokët; miqtë
buff,lëkurë kau; ngjyrë everdhë e zbehtë
buffalo,ka i egër
buffer,"ndarës, barrierë"
buffet,bufe(mobilje)
buffeting,duke luftuar; duke u përpjekur
buffets,1. bufetë(mobilje); 2. lufton; përpiqet
buffoon,kloun
bug,insekt
bugbear,frikë
bugle,trumpet
bugs,insekte
build,ndërtoj
builder,ndërtues
building,1. duke ndërtuar; 2. ndërtesë
buildings,ndërtesat
builds,ndërton
built,ndërtuar; ndërtova
bulbs,"llambat, dritat"
bulgarian,bullgar
bulk,volum; masë
bulks,volume; masa
bull,"kau, rritje çmimesh"
bullet,fishekë; plumb
bullets,fishekë; plumba
bulls,buajt
bullshit,budallallëk
bully,"1. frikësoj, ngacmoj, 2. i këndshëm"
bullying,"duke kërcënuar, kërcënimi, shantazhi"
bulwark,murë mbrojtës
bulwarks,mure mbrojtëse
bum,pavlerë
bumble,gaboj
bummer,pavlerë
bump,goditje
bumped,goditur
bumper,mbrojtëse
bumping,duke goditur
bunch,tufë
bunches,tufa
bundle,paketim; shoqërim
bundles,paketime; shoqërime
bung,ndaloj
bungle,dështim
bungler,i dështuar
bungles,dështime
bunker,bunker
bunkers,bunkerët
bunny,lepur
buns,panine
bunting,duke shtyrë
buoyant,"i gëzuar, alegro"
buoyed,"inkurajuar, mbështetur"
bur,tingull metalik
burden,1. peshë; 2. peshoj
burdened,peshuar
burdens,peshat
burdensome,i/e rëndë
bureau,e. byro; tavolinë; zyrë
burgh,qytet
burgher,qytetarë
burghers,qytetarët
burglar,hajdut
burglary,vjedhje
burgomaster,kryetar bashkie
burgomasters,kryetarët e bashkive
burgonet,lloj helmete
burgundy,ngjyrë vishnje
burial,varrosja
buried,varrosur
burier,pengesë
burly,"i fortë, muskuloz"
burn,djeg
burned,djegur
burner,djegës
burning,duke u djegur
burnish,djegëse
burns,djeg
burnt,djegur
burr,flet me një theks të ashpër
burrows,1. vrima; gropa 2. heton; fsheh
burs,zhurmë metalike
bursar,arkëtar
burst,shpërthej; thyej
bursting,duke shpërthyer; duke u thyer
bursts,shpërthen
burton,humbur në aksion
bury,varros
burying,duke varrosur
buses,autobuzat
bush,shkure
bushel,njësi matëse për drithërat dhe frutat(8 gallone)
bushels,njësi matëse për drithërat dhe frutat(8 gallone)
bushes,bushe; shkure
bushy,i/e mbuluar
busied,zura vetveten me punë
busies,zë vetveten me punë
busiest,më e zëna
busily,shpejtë
business,e. biznes; tregëti; mb. i biznesit; i trgëtisë; tregëtare
businesses,biznese
businesslike,"praktik, efektiv, metodologjik"
buskin,çizme
busky,i/e mbuluar
buss,1. puthje; 2. puth
busses,puthjet
bussing,duke puthur
bustle,gjallëri; aktivitet i zhurmshëm; bëj zhurmë; nxitoj
bustling,gjallërisht; aktivisht
busy,i/e zënë
busying,duke qenë i zënë
but,por; përveç; vetëm; me kusht; në qoftë se
butcher,kasap
butchered,therur
butcheries,therjet
butcherly,në mënyrë brutale(kasapçe)
butchers,kasap
butchery,therje; thertore
butler,shefi i shërbëtorëve
butlers,shefat e shërbëtorëve
butt,1. ekstremitet; prapanicë; viktim; 2. shqetësoj
butter,gjalpë
buttered,lyer me gjalp
butterflies,flutura
butterfly,flutur
buttering,duke lyer me gjalp
buttery,shpenzim
buttock,pjesa e pasme
buttocks,pjesa e pasme
button,buton; kopsë
buttonhole,vrima e kopsës
buttoning,duke kopsitur
buttons,butona; kopsa
buttress,mbështes; përforcoj
butts,1. ekstremitetet; prapanicat; viktimat; 2. shqetëson
buxom,i pamshëm; e pamshme
buy,blej
buyer,blerës
buyers,blerësit
buying,duke blerë
buys,1. blen; 2. blerjet
buzz,zile; telefonatë
buzzard,zog grabitqarë
buzzards,zog grabitqarë
buzzed,ra zilja
buzzers,zilet; alarmet
buzzing,1. duke telefonuar; 2. duke fluturuar ultas
by,nga; prej; me; pranë
by accident,rastësisht
by virtue of,në sajë; me anë; në bazë të
by-pass,kaloj për rreth
by-product,sekondar
by-way,rrugë e rrahur pak
bye,1. mirëupafshim; 2. gropë e hapur(në golf)
bye-bye,mirëupafshim
bye-law,urdhëresë
bygone,e kaluar; jashtë mode
bylayer,sipas niveleve(shtresave)
bypass,"shmang, shmangje"
bypassing,duke devijuar
byre,katua
bystander,"spektator, vëzhgues"
byte,njësi bazë informacioni(Kompjuter) përmban 8 bits
bytes,njësi bazë informacioni(Kompjuter) përmban 8 bits
byways,rrugë anësore
byword,fjalë e urtë
bywork,punë e dorës së dytë
c,shkronjë e alfabetit anglez
cab,taksi
cabbage,lakër
cabbages,lakra
cabby,shofeer taksije
cabin,kabinë
cabinet,kabinet
cabins,kabinat
cable,kabllo
cables,kabllot
cache,"1. depozitë, 2. fsheh"
cackled,pëshpëritur
cackling,duke pëshpëritur
cacodemon,shpirt i keq
cad,1. vulgar; i pa edukuar; 2. program per skicimet me kompjuter
cadence,rënia
cadets,kadetët
caduceus,simboli i mjekësisë
caesarean,i Çezarit
cafeteria,"mencë, restorant"
cafeterias,restorant
cage,kafaz; burg; ashensor
caged,mbyllur në kafaz; burgosur
cahoots,"partnership, lidhje"
caitiff,person i keq
caitiffs,persona të keqinj
cake,kek; ëmbëlsirë
cakes,ëmbëlsirat
cakewalk,kërcim; ballo; vallëzim
calamities,fatkeqësitë
calamity,fatkeqësi
calculable,e llogaritëshme
calculate,llogaris
calculated,llogaritur
calculates,llogarit
calculating,duke llogaritur
calculation,llogaritje
calculations,llogaritjet
calendar,kalendar
calendars,kalendarët
calf,1. viç 2. pulpë e këmbës
calfs,viçat
calibre,kalibër; diametër
calico,1. fije pambuku 2. gallatë
calk,1. dhëmb (patkoi) 2. dyfishoj
call,telefonatë; zile; qarje; thirrje
call for,kërkoj; porosis; lus;
called,"1. telefonoi, telefonuar, 2. të quajtur"
calling,"duke telefonuar, duke bërë thirrje"
callosity,kallo
callous,me kallo
callow,pa përvojë
calls,telefonatat; thirrjet
calm,i qetë
calmed,qetësuar
calmer,më i qetë
calmest,më i qeti
calmness,qetësi
calms,qetësitë
caloric,me kalori; i nxehtë
calorific,i nxehtë
calumniate,"dëmtoj, shpif"
calumniating,duke dëmtuar
calumniator,shpifës
calve,pjell (viça)
calves,të rinj
cambric,kamrik
came,erdha
camel,deve
camels,devetë
cameraman,kameraman
cameras,kamerat
camomile,kamomil
camp,kamp
campaign,"fushatë, national campaign = fushata kombëtare"
campaigning,duke bërë fushatë elektorale
campaigns,fushatat
camped,kampuar
camping,duke kampuar
camps,kampet
can,1. mund; jam i aftë; 2. kuti
canal,"kanal, hap kanal"
canals,kanalet
canaries,kanarinat
canary,kanarinë
cancel,anulloj; fshij
canceled,"anulluar, fshirë"
cancellation,anullim; fshirje
cancelled,anulluar; fshirë
cancelling,duke anulluar
cancels,anullon
cancer,1. Gafore; 2. kancer
candid,"i sinqertë, i hapur"
candidate,kandidatë
candied,e sheqerosur
candle,qiri
candlelight,drita e qiriut
candles,qirinjtë
candlestick,"mbajtëse qiriu, shandan"
candlesticks,mbajtëse qirinjsh
candour,i paanshëm
candy,karamele
cane,shkop
canisters,kanistra
canker,gangrenë
cankering,duke infektuar
cannibal,kanibal
cannibals,kanibalë
cannon,top
cannon fodder,mish për top
cannoneer,kanonierë
cannons,topat
cannot,nuk mund
canon,kanun; ligj; parim
canonize,shpall të shënjtë
canonized,shpallur të shënjtë
canonizes,"kanonizon, shpall të shenjtë"
canons,kanune; ligje; parime
canopied,mbuluar
canopies,mbulesa; mbulon
canopy,mbulesë; mbuloj
cant,kthej
cantle,pjesë
canto,pjesë
canton,kanton
cantons,kantonet
canvas,kanavac
canvass,ekzaminim
canvassed,eksaminuar
cap,kokë; mbulesë; kapak
capabilities,aftësitë
capability,aftësi
capable,i aftë
capacious,i hapur në hapësirë
capacities,hapësirat
capacity,volum; kapacitet
caparison,mbulesa dekorative për kuajt
caparisoned,dekoruar; zbukuruar(për kuajt)
cape,kepi
capita,"frymë, per capita = për frymë"
capital,"kryeqytet, kapital"
capital city,kryeqytet
capitalism,kapitalizëm
capitalize,kapitalizoj
capitalized,kapitalizuar
capitol,ndërtesa e Kongresit në SHBA
capitulate,dorëzoj
capitulation,kapitullim
capping,"duke mbyllur, duke bllokuar"
capriccio,kapriçio(stil i lirë në muzikë)
caprice,imagjinatë
capsized,përmbysur
capstone,"guri i fundit, mbyllja"
captain,kapiten
captains,kapitenët
captainship,komanda; udhëheqja
caption,shpjegimet
captivate,kap; fitoj; tërheq
captivated,kapur; fituar; tërhequr
captive,i burgosur
captives,të burgosur
captivity,kapja
captors,rrëmbyesit
capture,e. kapje; ndalim; f. kap; fus në burg
captured,kapur
capturing,duke kapur
car,makinë; veturë
carat,karat(njesi peshe për matjen e arit dhe gurëve të çmuar)
caravan,karvan
carbohydrates,karbohidratet
carbon,karbon
carbuncle,gur i çmuar
carbuncles,gurë të çmuar
carburetors,karburatorët
carcass,karkasa; struktura
carcasses,karkasat; strukturat
card,letra
cardiac,i/e zemrës
cardinal,Kardinal; kryesor
cardinally,kryesisht; në mënyrë të përzemërt
cardinals,Kardinalët
cards,letrat(për të lozur)
care,kujdesje; kujdesem
cared,kujdesur
career,karrierë
careers,karrierat
careful,i kujdesshëm
carefully,me kujdes
careless,i pakujdesshëm
carelessly,në mënyrë të pakujdesshme
carelessness,pakujdesi
cares,kujdeset
caressed,përqafuar; përqafova
caretaker,kujdestar
careworn,veshur
cargo,ngarkesë
caries,prishjet e dhëmbëve
caring,duke u kujdesur
carnage,"kasaphanë, gjakderdhje, masakër"
carnal,sensual; fizik; material
carnally,sensuale; trupore
carnation,karafil
carnations,karafila
carol,këngë
carousal,dehje
carouse,pije alkolike
caroused,pirë
carouses,piu
carousing,duke pirë
carp,krap(lloj peshku)
carpenter,"marangoz, zdrukthtar"
carpenters,"marangozët, zdrukthtarët"
carpentry,zdrukthtari
carper,kritizer
carpet,qyllym
carpets,qyllymat
carping,duke kritikuar
carriage,karrocë
carriages,karrocat
carried,transportuar; mbartur
carrier,transportues
carriers,transportuesat
carries,transporton
carry,transportoj; mbaj
carrying,duke transportuar; duke mbartur
cars,makinat
cart,karrocë; vagon
carters,karrocat; vagonat
cartesian,kartezian
cartoon,karikaturë karton
carts,karrocat
carve,gdhend; formë
carved,gdhendur
carver,gdhendës
carves,gdhend
carving,duke gdhendur
case,1. rast; 2. kuti
cases,1. rastet; 2. kutitë
cash,para
cashier,shitës
casing,duke paketuar
cask,fuçi
casket,arkivol
caskets,arkivolat
casks,fuçitë
casque,helmet
casques,helmetat
cassava,bimë tropikale (me të cilën mund të bëhet miell)
cast,projektoj; aktorët
castaway,plehra
castaways,plehrat
caste,klasë
castigate,dënoj
castigated,dënuar
castigation,dënim
casting,duke luajtur
castle,kështjellë
castles,kështjellat
casual,veshje joformale; i përkohshëm
casually,në mënyrë joformale; përkohësisht
casualties,"viktimat, humbjet"
casualty,viktimë
cat,mace
catalog,katalog
cataloge,katalog
catalogue,katalog
catalyze,"nxis, frymëzoj"
cataract,katarakt
cataracts,kataraktet
catastrophe,katastrofë
catastrophes,katasrofat
catastrophic,katastrofike
catch,kap
catched,kapur
catcher,kapës
catches,kap
catching,duke kapur
categorical,kategorik
categories,kategoritë
categorized,kategorizuar
category,kategori
cater,siguroj
caters,siguron
catharsis,pastrim
cathartic,diaretik; pastrues
cathedral,Katedrale
catholic,katolik; Roman Catholic = Katolik romak
catlike,si mace
cats,macet
cattle,bagëtija; kafshët
caught,kapur
causa,arësye; motivacion
causal,i rastit
causality,shkakësi
causation,shkakësi
causative,shkaktar
cause,shkak qëllim arësye
caused,shkaktuar
causeless,pa shkak
causer,shkaktar
causes,"shkaqet, shkakton, parimet"
causing,duke shkaktuar
caution,e. kujdes f. paralajmëroj
cautioned,paralajmëruar
cautions,kujdesjet
cautious,i kujdesshëm
cautiously,me kujdes
cavalier,kalorës; aristokrat;
cavaliers,kalorësa; aristokratë;
cave,shpellë
cavern,shpellë
caverns,shpellat
caves,shpellat
cavil,ankohem; kritikoj
cavilling,duke u ankuar; duke kritikuar
cavils,ankohet; kritikon
cayenne,spec djegës
cease,ndaloj; pushoj
ceased,ndaluar; pushuar
ceasefire,"pushim zjarri, armpushim"
ceaseless,papushim
ceases,pushon
ceasing,duke pushuar
ceiling,tavan
ceilings,tavanet
celebrate,festoj
celebrated,"festuar, shquar"
celebrates,feston
celebrating,duke festuar
celebration,festim
celebrations,festimet
celebrity,"njeri me famë, njeri i shquar"
celerity,shpejtësi
celestial,qiellor
cell,qelizë
cell phone,telefon celular
cellar,bodrum
cellarage,bodrum
cellars,bodrume
cells,qelizat
cement,çimento
cemented,çimentuar
cemetery,varrezë
censure,"censurë, dënim"
cent,cent
center,qëndër
centerpoint,qëndër
centers,qëndrat
centimeters,centimetrat
central,qëndror
centralised,centralizuar
centralizing,duke centralizuar
centre,qëndër
centres,qëndrat
centrifugal,centrifugal
centuries,shekujt
century,e. shekull
cerebellum,truri i vogël
cerebrum,tru
ceremonial,ceremonial
ceremonies,ceremonitë
ceremonious,zyrtare
ceremoniously,në mënyrë zyrtare
ceremony,ceremoni
certain,mb. i sigurtë; i përcaktuar; specifik
certainly,sigurisht
certainties,siguritë
certainty,siguri
certificate,çertifikatë
certified,çertifikuar
certify,vërtetoj
certifying,duke vërtetuar
certitude,siguri
cess,fat
cessation,"ndalim, pushim"
cesspools,gropë e zezë
cetera,tjera
chafe,irritim
chafed,irrituar
chafes,irriton
chaff,kashtë; mbeturinë
chafing,duke irrituar
chain,zinxhirë
chained,"burgosur, lidhur"
chains,zinxhirë
chair,karrike; post zyrtar
chairman,e. kryetar; udhëheqës
chairs,karriket; postet zyrtare
chaise,karrocë
chalice,kupë
chalk,shkumës
chalked,shkruar me shkumbës
chalks,shkumësat
challenge,sfidë
challenged,sfidat
challenger,sfidues
challengers,sfiduesat
challenges,sfidat
challenging,duke sfiduar
chamber,dhomë; zyrë
chambermaid,pastruese
chambermaids,pastrueset
chambers,dhomat; zyrat
chameleon,kameleon
champ,kampion
champagne,shampanjë
champaign,kamping
champion,kampion
champions,kampionët
championship,kampjonat
chance,mundësi; rast
chanced,ndodhur
chancellor,kancelar
chances,mundësitë
chandelier,shandeljer; abazhur
chandeliers,shandeljerët; abazhurët
chandler,prodhues qirinjsh
change,"ndryshim, këmbej"
changeable,i këmbyeshëm
changed,këmbyer
changeful,i ndryshueshëm; i këmbyeshëm
changeless,i pandryshueshëm; i pakëmbyeshëm
changer,ndryshues; i këmbyes
changes,ndryshimet; këmbimet
changing,duke ndryshuar; duke këmbyer
channel,kanal
channels,kanalet
chanson,këngë
chant,këngë
chanted,kënduar; recituar
chanticleer,gjel
chanting,duke kënduar; duke recituar
chantries,lutjet
chantry,lutje
chants,këngët
chaos,kaos
chaotic,kaotike
chap,hendek
chapel,vend shërbimi fetar
chaplain,klerik
chaplains,klerikët
chapter,kapitull
chapters,kapituj
char,djeg; pastroj
character,shkronjë
characteristic,karakteristikë
characteristics,karakteristikat
characterization,karakterizim
characterize,karakterizoj
characterized,karakterizuar
characterizes,karakterizuar
characterless,pa personalitet
characters,shkronjat
charcoal,qymyr druri
charge,çmim; përgjegjësi
chargeable,i/e karikueshëm
charged,"shpallur, paguar, ngarkuar, akuzuar"
charges,çmimet; përgjegjësitë
charging,duke shpallur; duke paguar; duke ngarkuar
chariest,më i kujdesëshmi
chariness,kujdesje
charing,duke u kujdesur
chariot,karrocë
chariots,karrocat
charitable,dorëdhënës; bamirës
charitably,në mënyrë bamirësie
