Word,Meaning
bye,"{n} ثانوي, نقطة في لعبة الكريكت"
bye,{interj} الى اللقاء
bye bye,"الى اللقاء, وداعا, مع السلامة"
bygone,{n} ماض
bygone,"{adj} ماضي, مهجور, عتيق الزي, في الزمن السابق, ماض, منصرم"
bylaw,"{n} نظام, قانون داخلي, نظام داخلي, حسب القانون"
bypass,"{n} طريق جانبي, مجرى جانبى, مجزئ التيار"
bypass,{v} تجنب
bypassing,{n} مرور
byplay,{n} على الهامش
byre,{n} بيير إسم شخص
byroad,{n} على فكرة
bystander,{n} متفرج غير متدخل بشىء
bystreet,"{n} شارع فرعي, طريق فرعي"
byway,"{n} طريق فرعي, حقل, مجهول"
byword,"{n} موضع سخرية, مثل, نموذج, قول مأثور, كلمة متداولة, عبارة متداولة"
byzantine emperor,{n} إمبراطور بيزنطى
c.o,قائد
c.o.d,الدفع عندالتسليم
cab,"{n} سيارة أجرة, القاب مكيال, الجزء المغطي, جزء مماثل في شاحنة"
cabal,"{n} عصبة, جمعية سرية"
cabala,{n} القبلانية فلسفة دينية
cabalism,{n} معتقد صوفي
cabalist,{n} مذهب سري
cabalistic,{adj} صوفي المعتقد
cabaret,"{n} كباريه, ملهى, حانة, مقهى, برنامج غناء"
cabbage,"{n} ملفوف, كرنب ملفوف, حلوى, كرنب"
cabby,"{n} سائق التاكسي, سائق سيارة الأجرة, قائد السيارة"
cabin,"{n} قمرة, حجرة خصوصية, حجرة في السفينة, حجرة في الطائرة, كوخ"
cabinet,"{n} خزانة, مجلس الوزراء, حجرة خصوصية صغيرة, المجلس الإستشارى, مرحاض, ذو قيمة, قاعة مطالعة"
cabinet meeting,إجتماع مجلس الوزراء
cabinetmaker,"{n} نجار الموبيليا والأثاث الفاخر, نجار الأثاث الفاخر"
cable,"{n} مرسة, حبل غليظ, سلك, برقية, طول الفلس, كابل, حزمة أسلاك, قلس"
cable,{adj} مرساة مزودة بحبل
cable,"{v} برق, ثبت"
cable car,"عربة قطار هوائي, عربة كهربائية في القطار"
cable railway,"القطار الهوائي المعلق, سكة الحديد المعلقة>"
cable television,قناة تلفزيونية بإشتراك
cablegram,"{n} برقية, البرقية الكبلية"
cabman,"{n} سائق السيارة الاجرة, قائد المركبة"
caboose,{n} مطبخ
cabotage,{n} الملا حة الساحلية
cabriolet,"{n} حنطور, الكبريلة, سيارة بسطح قابل للطي"
cacao,{n} الكاكاو
cachalot,{n} العنبر حوت عظيم
cache,"{n} مخبأ, شىء مخبوء"
cache,{v} خبأ
cachet,"{n} كبسولة, ختم, دمغة"
cachexy,{n} الإعتلا ل
cachou,{n} حبة سكرية
cacique,{n} زعيم قبيلة
cackle,"{n} تقويق الدجاجة, قوقئة صوت الدجاج, ثرثرة بجلبة, القوقأة صوت الدجاج, ثرثرة"
cackling,{n} قوقئة صوت الدجاج
cacophony,"{n} تنافر النغمات, تهجئة خاطئة"
cactus,"{n} صبار صبير, صبار, شجر"
cacuminal,{adj} وغد حقير
cad,"{n} وغد, نذل, إبن المدينة"
cadastral,{adj} مساحي
cadastre,{n} مسح
cadaver,"{n} جثة, جيفة"
cadaveric,{adj} متآكل الجيفة
cadaverous,"{adj} جيفي, شديد الشحوب"
caddie,"{n} غلام يساعد لاعب الغولف, أداة صغير ذات عجلات"
cadence,"{n} كادنزا موسيقي, إيقاع, محط, نغمة ختامية"
cadency,"{n} كادنزا موسيقي, إيقاع, محط, نغمة ختامية"
cadenza,{n} كادنزا موسيقي
cadet,"{n} طالب في كلية حربية, تلميذ عسكري, أخ أصغر"
cadge,"{v} تطفل, تسول, نال بالتسول"
cadger,"{n} طفيلي, المتسول"
cadmium,{n} الكادميوم عنصر فلزي
cadre,"{n} كادر, ملاك, إطار"
caducity,{n} شيخوخة
caducous,{adj} متساقط
caesar,"{n} قيصر الرومان, إمبراطور"
caesar salad,{n} سلطة قيصر
caesarean,{n} عملية قيصرية
caesarean,{adj} قيصري
caesium,{n} سيزيوم
caesura,"{n} وقف عند منتصف بيت الشعر, انقطاع"
cafe,"{n} قهوة, مقهى, مطعم, ناد ليلي"
cafeteria,"{n} كافيتيريا, مقصف"
caffeine,"{n} كافيين, البنين"
caftan,{n} قفطان
cage,"{n} قفص, حجيزة ذات قضبان, سلة لكرة السلة"
cagey,"{adj} حذر, محترس"
cagy,{adj} مقفص
cahoots,{n} تعاون وثيق
caiman,{n} تمساح إستوائي
cairn,{n} ركام من حجارة
caisson,"{n} صندوق متفجرات, عربة ذخيرة, جزء غائر"
cajole,"{v} تملق, داهن, تزلف إلى"
cajoler,{n} متزلف
cajolery,"{n} تملق, مداهنة"
cake,"{n} كعكة, كعكة الفاكهة, قشرة صلبة, صفعة"
cake,"{v} حشا, تخثر, كسا"
calamities,{n} أحداث
calamitous,"{adj} فاجع, مسبب كارثة, مصحوب بكارثة"
calamity,"{n} حدث, مصيبة, نكبة, كارثة, طامة, قارعة, نائبة مصيبة, فاجعة, محنة"
calcareous,"{adj} كلسي, جيري"
calcic,{adj} كلسي
calcification,"{n} تكليس, تكلس"
calcify,"{v} كلس, حول إلى كلس"
calcination,"{n} تكليس, إحراق, تكلس"
calcine,"{v} كلس, حول إلى كلس"
calcined,{adj} مكلس
calcium,{n} الكلسيوم
calculable,"{adj} ممكن إحصائه, قابل للحساب"
calculate,"{v} حسب, تعمد, اعتقد, ظن, عد, جرد حسابا, فكر في النتائج, اتكل"
calculated,"{adj} محسوب, مدروس, معدود, مروى فيه, معد بدراسة, مكيف بتروى, مقصود"
calculating,"{adj} حذر, حريص"
calculating,"{n} مكر, اليقظ"
calculation,"{n} حسبان, حساب, إجراء للحساب, روية, تروي, حذر"
calculator,"{n} آلة حاسبة, مجموعة جداول, آلة حاسبة صغيرة"
calculus,"{n} حساب التفاضل والتكامل, حصاة المثانة أو الكلية, الحصاة الكلوية"
caldron,{n} مرجل
calefactory,{n} تسخين
calendar,"{n} تقويم, مفكرة, دليل التلفون, قائمة"
calender,"{v} سجل, درج في لائحة"
calender,{n} بيان جامعة
calends,{n} لوائح
calf,"{n} عجل, جلد العجل, فتى غر, كتلة جليد"
calf love,"غرام المراهقة, حب سريع الزوال"
calf's,{adj} غر
calfskin,{n} جلد العجل
caliber,"{n} صاحب مكانة, مقياس مدرج, الكاليبية مادة هلامية, عيار قطر جسم مستدير, عيار, القطر الداخلي"
calibrate,"{v} عاير, درج, قوم, فحص, حدد"
calibration,"{n} تكييل, معايرة, تدريج, تقويم"
calibre,"{n} صاحب مكانة, مقياس مدرج, عيار قطر جسم مستدير, الكاليبية مادة هلامية, عيار, القطر الداخلي"
calico,{n} شيت قماش قطني
calico,{adj} كاليكو
calipers,{n} المسماك
caliph,"{n} خليفة ( المسلمين ), خليفة المسلمين"
caliphate,{n} الخلا فة الإسلامية
calisthenics,{n} الألعاب الجمبازية
calk,"{n} مانعة الإنزلاق, الجزء الناتئ من نعل الفرس"
calk,"{v} سد الشقوق, جلفط, سد بشكل عام"
call,"{n} سحب, زيارة, عيادة زيارة, صيحة, محاكاة لصوت, أداة لمحاكاة الصوت, صوت الطائر, أيقظ, دعوة, نداء, استدعاء, طلب, ضرورة, مخابرة تليفونية, دعوة إلى شئ ما"
call,"{v} نادى, صاح, صرخ, تطلب, اقتضى, تلفن, عرج, استدعى, دعا, إجتذب الطريدة, استرد, استرجع, مكالمة, استنجد, سأل, لقب"
call a doctor,اتصل بالطبيب.
call a halt,"أنهى, وضع نهاية"
call a strike,{v} دعا للمشاركة في الإضراب
call an ambulance,اتصل بالإسعاف.
call for,"نادى, طلب, تطلب"
call free,{v} إتصل برقم تلفون مجاني
call girl,"بغي التيلفون, مومس من خلال التليفون"
call in,"صاح, إستدعى طبيب"
call in question,{v} شكك
call off,"{v} ألغى, أبطل"
call off a strike,أوقف الإضراب
call on,"{v} زار, طلب من, سأل"
call out,"{v} نادى, صرخ, صلب"
call sign,{n} شارة تعريف
call smb.'s attention,{v} لفت إنتباه الشخص
call the fire department,اتصل بالمطافئ.
call the police,اتصل بالشرطة.
call to arms,{v} دعا لحمل السلاح
call to order,دعا للمحافظة على النظام
call up,"أيقظ من النوم, تلفن, استدعى, دعا للتعبئة العامة"
caller,"{n} زائر, زيارة قصيرة, المتصل بالتلفون"
caller,{adj} طازج
calligraph,{v} خط الخط
calligrapher,{n} خطاط
calligraphy,"{n} حضر, خط اليد, حسن الخط"
calling,"{n} حرفة, دعوة, مناداة, مهنة, استدعاء"
calling card,كرت المحادثات التلفونية
calling id,{n} جهاز لحفظ ارقام التلفونات الواردة
callosity,"{n} صلابة, قسوة الفؤاد, إنذار"
callous,"{adj} خط, صلب, قاسي القلب, قاس صلب, جاسئ"
callousness,"{n} الصلابة, قسوة"
callow,"{adj} قليل الخبرة, لا خبرة له, قاس"
callus,"{n} الجسأة جزء من الجسم, الدشبذ مادة طبية, نسيج لين"
calm,"{n} سكون الرياح, هدوء"
calm,"{v} أهدأ, سكن, هدأ"
calm,"{adj} رائق, هادئ, رصين, رزين, ساكن, خامد, مطمئن"
calm down,"أهدأ, هدأ"
"calm down, everything will be ok",اهدأ سيكون كل شيء على ما يرام.
calmative,{n} مهدئ
calmative,{adj} مهدئ
calming,{n} تهدئة
calming,"{adj} هادي, مهدئ, مريح"
calmly,"{adv} بهدوء شديد, بتروي"
calmness,"{n} سكون, هدوء, رصانة, السكون"
caloric,{adj} السيال الحراري
calorie,"{n} سعر كالوري, وحدة حرارية, سعرة وحدة حرارية"
calorific,"{adj} مولد للحرارة, حراري"
calorifics,{n} مولدات حرارية
calorimeter,{n} المسعر
calorimetry,{n} المسعرية
calory,{n} السعرات الحرارية
calotte,{n} قلنسوة
caltrop,"{n} واحد من نباتات مختلفة, الكلتروب كرة حديدية شائكة"
calumniate,"{v} افترى, شوه سمعته, قذف"
calumniator,{n} مفتري
calumny,"{n} افتراء, تشويه السمعة"
calvary,{n} جمجمة
calve,"{v} تلد البقرة عجلا, تشعب"
calving,{n} ولادة البقرة
calvinism,{n} الكالفينية مذهب
calvinist,{n} أحد أتباع مذهب الكالفين
calvinist,{adj} الكالفيني
calx,{n} كسارة الزجاج ونفايته
calyx,"{n} الكأس للزهرة, عضو كأسي الشكل, كأس"
cam,"{n} حدبة, كامة في المحرك"
camaraderie,"{n} صداقة حميمة, صداقة شديدة"
camarilla,{n} البطانة مستشاريين غير رسميين
camber,"{n} احديداب, طريق"
camber,"{v} احدودب, حدب"
cambered,{adj} محدب
cambial,{adj} متعلق بالصرف المالي
cambium,"{n} قلب, طبقة من نسيخ خلوي لين"
cambric,{n} الكمبريكي قماش قطين
came,"{v} جاء, أتى"
camel,"{n} جمل, أداة لإنتشال السفن القديمة"
camel yarn,{n} غزل الجمل
cameleer,{n} الجمال
camellia,{n} الكاميلية
camembert,{n} جبن الكممبير
cameo,"{n} حجر كريم, حجاب, حجر كريم ذو نقش بارز"
camera,"{n} كاميرا, آلة تصوير, غرفة القاضي, غرفة, الة ألتصوير اليدوية"
camera store,{n} متجر الكاميرات
cameral,{adj} متعلق بمكتب القاضي
cameraman,"{n} مصور, المصور السينمائي"
camisole,"{n} القميصول سترة نسوية, قميص قصير"
camomile,"{n} بابونج, شيح البابونج, كاموميل"
camouflage,"{n} تمويه, المظهر الزائف"
camouflage,"{v} موه, عمى, خدع"
camp,"{n} مخيم, معسكر, جند, كوخ, حياة الجندية"
camp,"{v} رابط, عسكر يخيم, نزل"
camp,{adj} خيمي
camp bed,سرير صغير يطوي وينقل
camp fire,"نار المخيم, حفلة سمر"
camp follower,"مومس في الجيش, من يلحق بمعسكر بدون إنتماء إليه, اللامنضوي تابع غير رسمي"
campaign,"{n} حملة عسكرية أو سياسية, حملة بشكل عام, حملة"
campanile,{n} برج أجراس
campanula,{n} الجريس نوع من الزهر الجريسي
campground,{n} أرض المخيم
camphor,{n} كافور
camphorated,{adj} مشبع بالكافور
camphoric,{adj} كافوري
camping,"{n} تخييم, عسكرة, ذو علاقة بالمخيمات"
camping site,مكان التخييم
campsite,{n} مكان التخييم
campus,"{n} حرم الجامعة, أرض الجامعة, مرج الجامعة"
camshaft,{n} عمود الحدبات
can,"{n} صفيحة, وعاء, علبة, مدمرة, تمكن"
can,"{v} استطاع, علب, مكن, وضع في علبة, أوقف, سجن, قدر"
can i access the internet here,هل أستطيع الدخول على الإنترنت هنا
can i borrow your pen,هل أستطيع اقتراض قلمك
can i buy a monthly pass,هل أستطيع شراء جواز مرور شهري
can i buy it on installment,هل أستطيع شراءه بالتقسيط
can i buy it tax free,هل أستطيع شراءه بدون ضرائب
can i continue my trip,هل أستطيع إكمال رحلتي
can i dial directly,هل أستطيع طلب الرقم مباشرة
can i get off at the hotel,هل أستطيع النزول في الفندق
can i go bungee jumping there,هل أستطيع ممارسة قفزة بانجي هناك
can i go diving there,هل أستطيع الغوص هناك
can i go parasailing there,هل أستطيع الإبحار بالباراشوت هناك
can i go sky gliding there,هل أستطيع تحليق طائرة شراعية هناك
can i go skydiving there,هل أستطيع السباحة في الفضاء هناك
can i go surfing there,هل أستطيع التزلج على الأمواج هناك
can i go water skiing there,هل أستطيع التزحلق على الماء هناك
"can i have a bag, please",هل يمكن أن أحصل على شنطة من فضلك
can i have a receipt,هل أستطيع الحصول على إيصال
can i have an itemized bill,هل أستطيع الحصول على فاتورة مفصلة
can i have another drink,هل لي بمشروب آخر
can i have breakfast in my room,هل يمكنني تناول الإفطار في غرفتي
can i have it reissued,هل أستطيع استخراج آخر جديد
can i have it right away,هل أستطيع أخذها على الفور
can i have more nuts,هل لي بمزيد من الجوز
can i have some antiseptic cream,هل أستطيع الحصول على كريم مطهر
can i have some aspirin,هل أستطيع الحصول على أسبرين
can i have some condoms,هل أستطيع الحصول على واقي ذكري
can i have some insect repellent,هل أستطيع الحصول على طارد للحشرات
can i have some painkillers,هل أستطيع الحصول على مسكن للألم
can i have some tissues,هل أستطيع الحصول على مناديل ورقية
can i have some toothpaste,هل أستطيع الحصول على معجون أسنان
can i have some vitamins,هل أستطيع الحصول على فيتامينات
can i have something for a cold,هل أستطيع الحصول على شيء لعلاج الزكام
can i have something for a cough,هل أستطيع الحصول على شيء لعلاج الكحة
can i have something for a hangover,هل أستطيع الحصول على شيء لعلاج الأعراض التي تعقب شرب الخمر
can i have something for a sore throat,هل أستطيع الحصول على شيء لعلاج احتقان الحلق
can i have something for an upset stomach,هل أستطيع الحصول على شيء لعلاج اضطراب المعدة
can i have something for diarrhea,هل أستطيع الحصول على شيء لعلاج الإسهال
can i have something for hay fever,هل أستطيع الحصول على شيء لعلاج حمى الكلأ
can i have something for insect bites,هل أستطيع الحصول على شيء لعلاج لدغات الحشرات
can i have something for motion sickness,هل أستطيع الحصول على شيء لعلاج دوار الحركة
can i have something for sunburn,هل أستطيع الحصول على شيء لعلاج حروق الشمس
can i have the car washed,هل يمكنني غسل سيارتي
can i join the tour at the hotel,هل أستطيع الانضمام إلى الجولة في الفندق
can i make a connection on the same day,هل يمكنني حجز رحلة مواصلة في نفس اليوم
can i park here,هل يمكنني التوقف هنا
can i pay in dollars,هل يمكنني الدفع بالدولار
can i pay in euros,هل يمكنني الدفع باليورو
can i pay in traveler's checks,هل يمكنني الدفع بالشيكات السياحية
can i pay later,هل أستطيع الدفع فيما بعد
can i pay now,هل أستطيع الدفع الآن
can i rent a car,هل يمكنني تأجير سيارة
can i rent a diving suit and equipment,هل أستطيع تأجير بدلة ومعدات للغطس
can i reserve a hotel room here,هل يمكنني حجز غرفة في فندق هنا
can i sample local cuisine there,هل أستطيع تذوق المطبخ المحلي هناك
can i see your driver license please,هل أستطيع رؤية رخصة قيادتك من فضلك
can i see your id please,هل أستطيع رؤية بطاقتك الشخصية من فضلك
can i see your insurance card please,هل أستطيع رؤية بطاقة التأمين من فضلك
can i see your passport please,هل أستطيع رؤية جواز سفرك من فضلك
can i see your vehicle registration please,هل أستطيع رؤية رخصة السيارة من فضلك
can i sit by the window,هل أستطيع الجلوس بجوار النافذة
can i sit in a non smoking area,هل أستطيع الجلوس في منطقة غير المدخنين
can i sit in a smoking area,هل أستطيع الجلوس في منطقة المدخنين
can i sit outside,هل أستطيع الجلوس في الخارج
can i sit over there,هل أستطيع الجلوس هناك
can i take lessons,هل من الممكن أن آخذ دروسا
can i take photos,هل أستطيع التقاط الصور
can i take your name please,ما اسمك من فضلك
can i use a personal check,هل أستطيع استخدام شيك شخصي
can i walk or should i take a taxi,هل أستطيع المشي أو ينبغي علي أن أستقل سيارة أجرة
can i withdraw money on my credit card here,هل أستطيع سحب نقود على بطاقتي الائتمانية هنا
can opener,"مفتاح العلب, فتاحة العلب"
can we do some shopping in the airport,هل يمكننا التسوق في المطار
can we look around,هل نستطيع إلقاء نظرة
can we settle the matter between ourselves,هل نستطيع تسوية المسألة فيما بيننا
can we spend the night here,هل نستطيع قضاء الليلة هنا
can we take a bicycle tour,هل بإمكاننا عمل جولة بالدراجة
can we take a guided tour,هل بإمكاننا عمل جولة بصحبة مرشد
can we take a walking tour,هل بإمكاننا عمل جولة سيرا على الأقدام
can you check it for me,هل تفحص سيارتي
can you check my size,هل تستطيع التأكد من مقاسي
can you cut a little more off the back,هل تستطيع أن تقص قليلا من الخلف
can you cut a little more off the front,هل تستطيع أن تقص قليلا من الأمام
can you cut a little more off the neck,هل تستطيع أن تقص قليلا من عند الرقبة
can you cut a little more off the sides,هل تستطيع أن تقص قليلا من الجوانب
can you cut a little more off the top,هل تستطيع أن تقص قليلا من الأعلى
can you dial for me,هل تستطيع طلب الرقم لي
can you drop me off downtown,هل تستطيع أن توصلني إلى وسط المدينة
can you fix my dentures,هل تستطيع اصلاح أسناني الصناعية
can you fix the zipper,هل تستطيع تصليح الجنزير
can you fix this,هل تستطيع إصلاح هذا
can you get a doctor,عندي دوار بحر شديد. هل تستطيع إحضار طبيب
can you get this stain out,هل يمكنك التخلص من هذه البقعة
can you give me a better price,هل تستطيع أن تعطيني سعرا أفضل
can you give me a cash discount,هل تستطيع أن تعطيني خصما نقديا
can you give me a hand,هل يمكنك مد يد المساعدة
can you give me a receipt,هل تستطيع أن تعطيني إيصالا
can you give me change for five pounds,هل تستطيع أن تفك لي خمسة جنيهات
can you give me something to stop the pain,هل تستطيع إعطائي شيئا لإيقاف الألم
can you heat this up,هل تستطيع تسخين هذا
can you keep this baggage for me,هل تستطيع أن تحفظ لي هذه الحقائب
can you leave your e mail address please,هل تستطيع ترك عنوان بريدك الإلكتروني من فضلك
can you lend me a bolt,هل تستطيع إقراضي مسمارا ملولبا
can you lend me a bulb,هل تستطيع إقراضي لمبة
can you lend me a dime,هل تستطيع إقراضي عملة معدنية
can you lend me a flashlight,هل تستطيع إقراضي مصباحا يدويا
can you lend me a hammer,هل تستطيع إقراضي شاكوشا
can you lend me a jack,هل تستطيع إقراضي رافعة السيارة
can you lend me a screwdriver,هل تستطيع إقراضي مفكا
can you lend me a wrench,هل تستطيع إقراضي مفتاحا إنجليزيا
can you lend me pliers,هل تستطيع إقراضي كماشة
can you lengthen this,هل من الممكن أن تطيل هذا
can you make a new setting,هل تستطيع تصنيع إطار جديد
can you make reservations for me,هل تستطيع أن تحجز لي
can you make up this prescription for me,هل تستطيع تركيب هذه الوصفة الطبية لي
can you measure my neck,هل تستطيع قياس رقبتي
can you measure my shoe size,هل تستطيع أخذ قياس حذائي
can you measure my sleeve length,هل تستطيع قياس طول كمي
can you order my size for me,هل يمكنك طلب مقاسي
can you patch this hole,هل تستطيع ترقيع هذا الخرم
can you please gift wrap this for me,هل من الممكن أن تلف لي هذا كهدية من فضلك
can you please let my family know,هل تستطيع إعلام عائلتي من فضلك
can you press these pants while i wait,هل تستطيع كي هذا البنطلون وأنا هنا
can you recommend a ballet,هل يمكنك أن تنصحني بمشاهدة باليه
can you recommend a boat trip,هل تستطيع أن توصي برحلة في قارب
can you recommend a concert,هل يمكنك أن تنصحني بمشاهدة حفل موسيقي
can you recommend a good bar,هل يمكنك أن تنصحني ببار جيد
can you recommend a good beer,هل تستطيع أن تنصحني ببيرة جيدة
can you recommend a good brandy,هل تستطيع أن تنصحني ببراندي جيد
can you recommend a good camera,هل تستطيع أن تنصحني بكاميرا جيدة
can you recommend a good cd player,هل تستطيع أن تنصحني بجهاز سي دي جيد
can you recommend a good cognac,هل تستطيع أن تنصحني بكونياك جيد
can you recommend a good dvd player,هل تستطيع أن تنصحني بجهاز دي في دي جيد
can you recommend a good place to eat,هل يمكنك أن تنصحني بمكان جيد للأكل
can you recommend a good restaurant,هل يمكنك أن تنصحني بمطعم جيد
can you recommend a good sherry,هل تستطيع أن تنصحني بشيري جيد
can you recommend a good tape recorder,هل تستطيع أن تنصحني بجهاز تسجيل شرائط جيد
can you recommend a good video camera,هل تستطيع أن تنصحني بكاميرا فيديو جيدة
can you recommend a good video player,هل تستطيع أن تنصحني بجهاز عرض فيديو جيد
can you recommend a good video recorder,هل تستطيع أن تنصحني بجهاز تسجيل فيديو جيد
can you recommend a good vodka,هل تستطيع أن تنصحني بفودكا جيدة
can you recommend a good wine,هل تستطيع أن تنصحني بنبيذ جيد
can you recommend a guide,هل تستطيع أن توصي بمرشد
can you recommend a movie,هل يمكنك أن تنصحني بمشاهدة فيلم
can you recommend a sightseeing tour,هل تستطيع أن توصي بجولة مشاهدة المعالم
can you recommend an excursion,هل تستطيع أن توصي بنزهة
can you recommend an opera,هل يمكنك أن تنصحني بمشاهدة أوبرا
can you recommend another hotel,هل يمكنك أن توصي بفندق آخر
can you remove this stain,هل تستطيع إزالة هذه البقعة
can you repair the car,هل تستطيع إصلاح السيارة
can you repair these boots,هل تستطيع إصلاح هذه الأحذية الطويلة الرقبة
can you repair these shoes,هل تستطيع إصلاح هذه الأحذية
can you repair this camera,هل تستطيع إصلاح هذه الكاميرا
can you repair this clock,هل تستطيع إصلاح هذه الساعة الكبيرة
can you repair this watch,هل تستطيع إصلاح هذه الساعة
can you repair this while i wait,هل تستطيع إصلاح هذه أثناء انتظاري
can you replace the battery,هل تستطيع تبديل البطارية
can you send a mechanic,هل يمكنك إرسال ميكانيكي
can you send a tow truck,هل يمكنك إرسال مقطورة السحب للتصليح
can you send it,هل تستطيع إرساله
can you send it to this address in the usa,هل تستطيع إرساله على هذا العنوان في الولايات المتحدة
can you sew it back on,هل يمكنك أن تعيد خياطته
can you sew these buttons on,هل تستطيع تثبيت هذه الأزرار
can you shorten this,هل من الممكن أن تقصر هذا
can you show me where i am on the map,هل بإمكانك أن تدلني على مكاني على الخريطة
can you swim,هل تستطيع السباحة
can you talk for me,هل تستطيع الحديث بالنيابة عني
can you translate it into english,هل تستطيع ترجمته إلى الإنجليزية
can you wait,هل يمكنك الانتظار
canaanite,{adj} كنعاني
canada,{n} كندا
canadian,{adj} الكندية
canal,{n} قناة
canal,{v} شق قناة
canaliculus,{n} قنية
canalization,{n} شبكة قنوات
canalize,"{v} شق خلاله قناة, جعل من النهر قناة"
canard,{n} إشاعة كاذبة
canary,"{n} رقصة فرنسية قديمة, كناري طائر, خمر الجزائر الكناري"
canary,{adj} كناري
canary bird,طائر الكناري
canary seed,حب الكناري
cancan,{n} الكنكان رقصة فرنسية
cancel,"{v} شطب, حذف, ألغى, أبطل, محى, عطل, إلغاء"
cancel,"{n} شطب, حذف, إلغاء"
canceled,"{adj} مشطوب, ألغيت"
cancellated,{adj} ملغى
cancellation,"{n} شطب, إلغاء, حذف, إبطال, علامات الحذف"
cancelled,{adj} ملغى
cancellous,{adj} مسامي
cancer,"{n} سرطان, ورم خبيث, آفة مهلكة"
cancerous,"{adj} سرطاني, عضال, مصاب بالسرطان"
candelabrum,{n} شمعدان زيني ذو شعب
candescent,{adj} وهاج
candid,"{adj} نزيه, صريح, غير متحيز, أبيض, مخلص"
candidacy,{n} ترشيح
candidate,"{n} مرشح لمنصب, المرشح عن, مرشح ( لمنصب لانتخاب إلخ )"
candidature,"{n} ترشيح لمنصب, الترشح"
candidiasis,{n} فطيرات في الجلد
candidness,"{n} صراحة, وضوح"
candied,"{adj} ملبس, معسول, محول إلى سكر, مسكر, ملبس مكسو بالسكر"
candle,"{n} شمعة, الشمعة وحدة القياس, العمل مبكرا جدا"
candle,{v} فحص البيضة
candle wick,{n} فتيل الشمعة
candlemas,{n} عيد تطهير مريم العذراء
candlestick,"{n} شمعدان, أعمدة الشمع"
candor,"{n} لا تحيز, صراحة, إخلاص, طهارة, براءة, سلامة نية"
candour,"{n} لا تحيز, إخلاص, صراحة, طهارة, براءة, سلامة نية"
candy,"{n} سكر نبات, حلوى, حلويات"
candy,"{v} سكر, حلى, بلره على شكل سكر, تبلر على شكل سكر"
candy floss,سكر نبات
candy store,{n} متجر سكاكر
cane,"{n} قصب, خيزران, قصب السكر, عصا, عصا الأعمى, عكاز"
cane,{v} ضرب بعصا
cane sugar,سكر القصب
canella,{n} قرفة
canescent,{adj} قصبي الرائحة
canicular,{adj} شعري
canine,"{n} كلب, ناب"
canine,"{adj} كلبي, نابي, شبيه بالكلاب, متعلق بالناب"
canis,{n} الكلب
canister,"{n} علبة للشاي, عليبة, قناع الغاز"
canker,"{n} الآكلة قرحة الفم, داء يصيب قوائم الخيل, داء يصيب النبات"
cankerous,{adj} قرحي أكالي
cann,{n} القنا
canna,{n} القنا عشب إاستوائي
cannabis,"{n} حشيش مخدر, قنب حشيش"
canned,"{adj} معلب, سكران"
canned foods,{n} معلبات
cannery,"{n} مصنع التعليب, معلب"
cannibal,"{n} آكل لحم البشر, إنسان متوحش, الآكل لحم البشر, حيوان يأكل من جنسه, متعلق بأكلة لحوم البشر"
cannibalism,"{n} أكل لحوم البشر, أكل الحيوان لحم جنسه, وحشية"
cannibalistic,"{adj} وحشي, آكلي لحم بشر"
canning,"{n} تعليب, أغذية معلبة"
cannon,"{n} مدفع, غفة, عروة الجرس المعدنية, إصابة"
cannon,"{v} أطلق النار, سجل إصابة, قصف"
cannon fodder,عتاد المدافع
cannon into,"إصطدم مع, تشاكل دائما"
cannonade,{n} رشق بالمدافع
cannonade,{v} هاجم بالمدفعية
canny,"{adj} حكيم, حذر"
canoe,"{n} الكنو زورق طويل خفيف, قارب"
canoe,"{v} غدف, إنطلق بكنو, نقل بكنو"
canoeing,{n} محذور
canon,"{n} كاهن مرتل, شريعة, قائمة القديسين, شريعة كنيسية, قانون كنسي, لائحة بالأسفار, آثار المؤلف"
canon law,قانون كنسي
canoness,{n} كنيسة
canonic,{n} شريعي
canonization,"{n} التقديس, تطويب في قائمة القديسين"
canonize,"{v} طوب, مجد"
canonized,{adj} طوباوي
canonry,{n} الممجد
canopy,"{n} ظلة, قبة, سرادق, قماش مظلة, سماء"
cant,"{n} مال, انحراف, نفاق, الزاوية الخارجية, الحركة المفاجئة, إنشاد الشحاذين, لغة خاصة ب, رياء"
cant,"{v} ميل, نافق"
cantaloup,{n} شمام
cantaloupe,"{n} البطيخ الأصفر, قاوون"
cantankerous,"{adj} مشاكس, محب للخصام, عدواني"
cantata,{n} الكنتاتة قصة
canteen,"{n} كانتين, مخزن عسكري, ملهى مجاني للجنود, مقصف, قربة, صندوق لأدوات المائدة, المزادة حافظة الماء, مطعم"
canter,"{n} ركد الفرس, المتشرد, النفاق"
canter,{v} حمله على الخبب
cantharides,{n} الذراح من الحشرات
cantharidin,{n} الأخيصرمن الحشرات
cantharis,{n} الأخيصر
canthus,{n} الموق للعين
canticle,"{n} أنشودة, النشيد"
cantilena,{n} نشيد الأنشاد
cantilever,"{n} الكابول دعامة ناتئة, ناتئ"
canting,{adj} منتئ
canto,{n} النشيد
canton,"{n} كانتون مقاطعة, إقليم"
cantonal,{adj} نزل
cantonment,{n} معسكر كبير عادة
cantor,"{n} قائد جوقة الترتيل, الترتيل بالكنيسة"
canvas,"{n} قماش كتاني, شراع, لوحة زيتية على قماش, أشرعة, خيام, الكنفا نسيج غليظ, لوحة زيتية"
