639-1,639-2,639-2/B,639-3,639-5,Language name(s) from ISO 639-2,Scope,Type,Native name(s),Other name(s),Scripts
,ota,,ota,,"Turkish, Ottoman (1500-1928)",Individual,Historical,لسان عثمانى / lisân-ı Osmânî,,
,oto,,,oto,Otomian languages,Collective,,,Oto-Pamean languages,
,paa,,,paa,Papuan languages,Collective,Individual,Living,a tekoi er a Belau,
,pag,,pag,,Pangasinan,Individual,Living,Salitan Pangasinan,,Latn
,pal,,pal,,Pahlavi,Individual,Ancient,Pārsīk; Pārsīg,Middle Persian,Phli Phlp
,pam,,pam,,Pampanga; Kapampangan,Individual,Living,Amánung Kapampangan; Amánung Sísuan,,Latn
pa,pan,,pan,,Panjabi; Punjabi,Individual,Living,ਪੰਜਾਬੀ / پنجابی Pãjābī,,Arab Guru
,pap,,pap,,Papiamento,Individual,Living,Papiamentu,,Latn
,pau,,pau,,Palauan,Individual,Living,a tekoi er a Belau,,Latn
,peo,,peo,,"Persian, Old (ca. 600-400 B.C.)",Individual,Historical,,,Xpeo
,phi,,,phi,Philippine languages,Collective,,,,
,phn,,phn,,Phoenician,Individual,Ancient,𐤃𐤁𐤓𐤉𐤌 𐤊𐤍𐤏𐤍𐤉𐤌 Dabariym Kana'aniym,,Phnx
pi,pli,,pli,,Pali,Individual,Ancient,Pāli,,Deva Sinh Thai
pl,pol,,pol,,Polish,Individual,Living,Język polski,,Latn
,pon,,pon,,Pohnpeian,Individual,Living,,,Latn
pt,por,,por,,Portuguese,Individual,Living,português,,Latn
,pra,,,pra,Prakrit languages,Collective,,,,
,pro,,pro,,"Provençal, Old (to 1500); Old Occitan (to 1500)",Individual,Historical,,,Latn
ps,pus,,pus,,Pushto; Pashto,Macrolanguage,Living,پښتو Pax̌tow,,Arab
qu,que,,que,,Quechua,Macrolanguage,Living,Runa simi; kichwa simi; Nuna shimi,,Latn
,raj,,raj,,Rajasthani,Macrolanguage,Living,राजस्थानी,,Deva
,rap,,rap,,Rapanui,Individual,Living,Vananga rapa nui,,Latn
,rar,,rar,,Rarotongan; Cook Islands Maori,Individual,Living,Māori Kūki 'Āirani,,Latn
,roa,,,roa,Romance languages,Collective,,,,
rm,roh,,roh,,Romansh,Individual,Living,Rumantsch; Rumàntsch; Romauntsch; Romontsch,,Latn
,rom,,rom,,Romany,Macrolanguage,Living,romani čhib,Romani,Cyrl Latn
ro,ron,rum,ron,,Romanian; Moldavian; Moldovan,Individual,Living,limba română,,Cyrl Latn
rn,run,,run,,Rundi,Individual,Living,Ikirundi,Kirundi,Latn
,rup,,rup,,Aromanian; Arumanian; Macedo-Romanian,Individual,Living,armãneashce; armãneashti; rrãmãneshti,,Latn
ru,rus,,rus,,Russian,Individual,Living,русский язык russkiĭ âzık,,Cyrl
,sad,,sad,,Sandawe,Individual,Living,Sandaweeki,,Latn
sg,sag,,sag,,Sango,Individual,Living,yângâ tî sängö,,Latn
,sah,,sah,,Yakut,Individual,Living,Сахалыы,,Cyrl
,sai,,,sai,South American Indian languages,Collective,,,,
,sal,,,sal,Salishan languages,Collective,,,,
,sam,,sam,,Samaritan Aramaic,Individual,Extinct,ארמית,,Hebr Samr
sa,san,,san,,Sanskrit,Individual,Ancient,संस्कृतम् Sąskŕtam; 𑌸𑌂𑌸𑍍𑌕𑍃𑌤𑌮𑍍,,Deva Gran Shrd Sidd Sinh
,sas,,sas,,Sasak,Individual,Living,,,Latn
,sat,,sat,,Santali,Individual,Living,ᱥᱟᱱᱛᱟᱲᱤ,,Beng Deva Latn Olck Orya
,scn,,scn,,Sicilian,Individual,Living,Sicilianu,,Latn
,sco,,sco,,Scots,Individual,Living,Braid Scots; Lallans,,Latn
,sel,,sel,,Selkup,Individual,Living,,,Cyrl
,sem,,,sem,Semitic languages,Collective,,,,
,sga,,sga,,"Irish, Old (to 900)",Individual,Historical,Goídelc,,Latn Ogam
,sgn,,,sgn,Sign Languages,Collective,,,,
,shn,,shn,,Shan,Individual,Living,ၵႂၢမ်းတႆးယႂ်,,Mymr
,sid,,sid,,Sidamo,Individual,Living,Sidaamu Afoo,,Latn
si,sin,,sin,,Sinhala; Sinhalese,Individual,Living,සිංහල Sĩhala,,Sinh
,sio,,,sio,Siouan languages,Collective,,,,
,sit,,,sit,Sino-Tibetan languages,Collective,,,,
,sla,,,sla,Slavic languages,Collective,,,,
sk,slk,slo,slk,,Slovak,Individual,Living,slovenčina; slovenský jazyk,,Latn
sl,slv,,slv,,Slovenian,Individual,Living,slovenski jezik; slovenščina,Slovene,Latn
,sma,,sma,,Southern Sami,Individual,Living,Åarjelsaemien gïele,,Latn
se,sme,,sme,,Northern Sami,Individual,Living,davvisámegiella,,Cyrl Latn
,smi,,,smi,Sami languages,Collective,,,,
,smj,,smj,,Lule Sami,Individual,Living,julevsámegiella,,Latn
,smn,,smn,,Inari Sami,Individual,Living,anarâškielâ,,Latn
sm,smo,,smo,,Samoan,Individual,Living,Gagana faʻa Sāmoa,,Latn
,sms,,sms,,Skolt Sami,Individual,Living,sääʹmǩiõll,,Latn
sn,sna,,sna,,Shona,Individual,Living,chiShona,,Latn
sd,snd,,snd,,Sindhi,Individual,Living,سنڌي / सिन्धी / ਸਿੰਧੀ,,Arab Deva Khoj Sind
,snk,,snk,,Soninke,Individual,Living,Sooninkanxanne,,Latn
,sog,,sog,,Sogdian,Individual,Ancient,,,
so,som,,som,,Somali,Individual,Living,af Soomaali,,Arab Latn Osma
,son,,,son,Songhai languages,Collective,,,Songhay languages,
st,sot,,sot,,"Sotho, Southern",Individual,Living,Sesotho (southern),,Latn
es,spa,,spa,,Spanish; Castilian,Individual,Living,español; castellano,,Latn
sq,sqi,alb,sqi,,Albanian,Macrolanguage,Living,Shqip,,Elba Latn
sc,srd,,srd,,Sardinian,Macrolanguage,Living,sardu; limba sarda; lingua sarda,,Latn
,srn,,srn,,Sranan Tongo,Individual,Living,,,Latn
sr,srp,,srp,,Serbian,Individual,Living,српски / srpski,,Cyrl Latn
,srr,,srr,,Serer,Individual,Living,Seereer,,Latn
,ssa,,,ssa,Nilo-Saharan languages,Collective,,,,
ss,ssw,,ssw,,Swati,Individual,Living,siSwati,Swazi,Latn
,suk,,suk,,Sukuma,Individual,Living,Kɪsukuma,,Latn
su,sun,,sun,,Sundanese,Individual,Living,ᮘᮞ ᮞᮥᮔ᮪ᮓ / Basa Sunda,,Latn Sund
,sus,,sus,,Susu,Individual,Living,Sosoxui,,Arab Latn
,sux,,sux,,Sumerian,Individual,Ancient,𒅴𒂠,,
sw,swa,,swa,,Swahili,Macrolanguage,Living,Kiswahili,,Latn
sv,swe,,swe,,Swedish,Individual,Living,svenska,,Latn
,syc,,syc,,Classical Syriac,Individual,Historical,,,
,syr,,syr,,Syriac,Macrolanguage,Living,ܠܫܢܐ ܣܘܪܝܝܐ Lešānā Suryāyā,,Syrc
ty,tah,,tah,,Tahitian,Individual,Living,Reo Tahiti; Reo Mā'ohi,,Latn
,tai,,,tai,Tai languages,Collective,,ภาษาไท; ภาษาไต,,
ta,tam,,tam,,Tamil,Individual,Living,தமிழ் Tamił,,Taml
tt,tat,,tat,,Tatar,Individual,Living,татар теле / tatar tele / تاتار,,Cyrl
te,tel,,tel,,Telugu,Individual,Living,తెలుగు Telugu,,Telu
,tem,,tem,,Timne,Individual,Living,KʌThemnɛ,Temne,Latn
,ter,,ter,,Tereno,Individual,Living,Terêna,Terena,Latn
,tet,,tet,,Tetum,Individual,Living,Lia-Tetun,,Latn
tg,tgk,,tgk,,Tajik,Individual,Living,тоҷикӣ toçikī,,Arab Cyrl Latn
tl,tgl,,tgl,,Tagalog,Individual,Living,Wikang Tagalog,,
th,tha,,tha,,Thai,Individual,Living,ภาษาไทย Phasathay,,Thai
,tig,,tig,,Tigre,Individual,Living,ትግረ; ትግሬ; ኻሳ; ትግራይት,,Ethi
ti,tir,,tir,,Tigrinya,Individual,Living,ትግርኛ,,Ethi
,tiv,,tiv,,Tiv,Individual,Living,,,Latn
,tkl,,tkl,,Tokelau,Individual,Living,,Tokelauan,Latn
,tlh,,tlh,,Klingon; tlhIngan-Hol,Individual,Constructed,,,
,tli,,tli,,Tlingit,Individual,Living,Lingít,,Latn
,tmh,,tmh,,Tamashek,Macrolanguage,Living,,Tamasheq,Latn
,tog,,tog,,Tonga (Nyasa),Individual,Living,chiTonga,,Latn
to,ton,,ton,,Tonga (Tonga Islands),Individual,Living,lea faka-Tonga,Tongan,Latn
,tpi,,tpi,,Tok Pisin,Individual,Living,,,Latn
,tsi,,tsi,,Tsimshian,Individual,Living,,,Latn
tn,tsn,,tsn,,Tswana,Individual,Living,Setswana,,Latn
ts,tso,,tso,,Tsonga,Individual,Living,Xitsonga,,Latn
tk,tuk,,tuk,,Turkmen,Individual,Living,Türkmençe / Түркменче / تورکمن تیلی تورکمنچ; türkmen dili / түркмен дили,,Arab Cyrl Latn
,tum,,tum,,Tumbuka,Individual,Living,chiTumbuka,,Latn
,tup,,,tup,Tupi languages,Collective,,,Tupian languages,
tr,tur,,tur,,Turkish,Individual,Living,Türkçe,,Arab Latn
,tut,,,tut,Altaic languages,Collective,,,,
,tvl,,tvl,,Tuvalu,Individual,Living,Te Ggana Tuuvalu; Te Gagana Tuuvalu,Tuvaluan,Latn
tw,twi,,twi,,Twi,Individual,Living,,,
,tyv,,tyv,,Tuvinian,Individual,Living,тыва дыл,Tuvan,Cyrl
,udm,,udm,,Udmurt,Individual,Living,удмурт кыл,,Cyrl Latn
,uga,,uga,,Ugaritic,Individual,Ancient,,,Ugar
ug,uig,,uig,,Uighur; Uyghur,Individual,Living,ئۇيغۇرچە ; ئۇيغۇر تىلى,,Arab Cyrl Latn
uk,ukr,,ukr,,Ukrainian,Individual,Living,українська мова ukraïns'ka mova,,Cyrl
,umb,,umb,,Umbundu,Individual,Living,Úmbúndú,,Latn
,und,,und,,Undetermined,Special,,,,
ur,urd,,urd,,Urdu,Individual,Living,اُردُو Urduw,,Arab
uz,uzb,,uzb,,Uzbek,Macrolanguage,Living,Oʻzbekcha / Ózbekça / ўзбекча / ئوزبېچه; oʻzbek tili / ўзбек тили / ئوبېک تیلی,,Arab Cyrl Latn
,vai,,vai,,Vai,Individual,Living,ꕙꔤ,,Latn Vaii
ve,ven,,ven,,Venda,Individual,Living,Tshivenḓa,,Latn
vi,vie,,vie,,Vietnamese,Individual,Living,Tiếng Việt,,Hani Latn
vo,vol,,vol,,Volapük,Individual,Constructed,,,Latn
,vot,,vot,,Votic,Individual,Living,vađđa ceeli,,Latn
,wak,,,wak,Wakashan languages,Collective,,,,
,wal,,wal,,Wolaitta; Wolaytta,Individual,Living,,,Ethi
,war,,war,,Waray,Individual,Living,Winaray; Samareño; Lineyte-Samarnon; Binisayâ nga Winaray; Binisayâ nga Samar-Leyte; “Binisayâ nga Waray”,,Latn
,was,,was,,Washo,Individual,Living,wá:šiw ʔítlu,,Latn
,wen,,,wen,Sorbian languages,Collective,,Serbsce / Serbski,,
wa,wln,,wln,,Walloon,Individual,Living,Walon,,Latn
wo,wol,,wol,,Wolof,Individual,Living,,,Arab Latn
,xal,,xal,,Kalmyk; Oirat,Individual,Living,Хальмг келн / Xaľmg keln,,Cyrl
xh,xho,,xho,,Xhosa,Individual,Living,isiXhosa,,Latn
,yao,,yao,,Yao,Individual,Living,,,Latn
,yap,,yap,,Yapese,Individual,Living,,,Latn
yi,yid,,yid,,Yiddish,Macrolanguage,Living,ייִדיש; יידיש; אידיש Yidiš,,Hebr
yo,yor,,yor,,Yoruba,Individual,Living,èdè Yorùbá,,Latn
,ypk,,,ypk,Yupik languages,Collective,,,,
,zap,,zap,,Zapotec,Macrolanguage,Living,Diidxazá,,Latn
,zbl,,zbl,,Blissymbols; Blissymbolics; Bliss,Individual,Constructed,,,
,zen,,zen,,Zenaga,Individual,Living,Tuḍḍungiyya,,Tfng
,zgh,,zgh,,Standard Moroccan Tamazight,Individual,Living,ⵜⴰⵎⴰⵣⵉⵖⵜ ⵜⴰⵏⴰⵡⴰⵢⵜ,Standard Moroccan Berber,Tfng
za,zha,,zha,,Zhuang; Chuang,Macrolanguage,Living,Vahcuengh / 話僮,,Hans Latn
zh,zho,chi,zho,,Chinese,Macrolanguage,Living,中文 Zhōngwén; 汉语; 漢語 Hànyǔ,,Bopo Hans Hant Phag
,znd,,,znd,Zande languages,Collective,,,,
zu,zul,,zul,,Zulu,Individual,Living,isiZulu,,Latn
,zun,,zun,,Zuni,Individual,Living,Shiwi'ma,,Latn
,zxx,,zxx,,No linguistic content; Not applicable,Special,,,,
,zza,,zza,,Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki,Macrolanguage,Living,kirmanckî; dimilkî; kirdkî; zazakî,,Latn
