639-1,639-2,639-2/B,639-3,639-5,Language name(s) from ISO 639-2,Scope,Type,Native name(s),Other name(s)
,sas,,sas,,Sasak,Individual,Living,,
,sat,,sat,,Santali,Individual,Living,ᱥᱟᱱᱛᱟᱲᱤ,
,scn,,scn,,Sicilian,Individual,Living,Sicilianu,
,sco,,sco,,Scots,Individual,Living,Braid Scots; Lallans,
,sel,,sel,,Selkup,Individual,Living,,
,sem,,,sem,Semitic languages,Collective,,,
,sga,,sga,,"Irish, Old (to 900)",Individual,Historical,Goídelc,
,sgn,,,sgn,Sign Languages,Collective,,,
,shn,,shn,,Shan,Individual,Living,ၵႂၢမ်းတႆးယႂ်,
,sid,,sid,,Sidamo,Individual,Living,Sidaamu Afoo,
si,sin,,sin,,Sinhala; Sinhalese,Individual,Living,සිංහල Sĩhala,
,sio,,,sio,Siouan languages,Collective,,,
,sit,,,sit,Sino-Tibetan languages,Collective,,,
,sla,,,sla,Slavic languages,Collective,,,
sk,slk,slo,slk,,Slovak,Individual,Living,slovenčina; slovenský jazyk,
sl,slv,,slv,,Slovenian,Individual,Living,slovenski jezik; slovenščina,Slovene
,sma,,sma,,Southern Sami,Individual,Living,Åarjelsaemien gïele,
se,sme,,sme,,Northern Sami,Individual,Living,davvisámegiella,
,smi,,,smi,Sami languages,Collective,,,
,smj,,smj,,Lule Sami,Individual,Living,julevsámegiella,
,smn,,smn,,Inari Sami,Individual,Living,anarâškielâ,
sm,smo,,smo,,Samoan,Individual,Living,Gagana faʻa Sāmoa,
,sms,,sms,,Skolt Sami,Individual,Living,sääʹmǩiõll,
sn,sna,,sna,,Shona,Individual,Living,chiShona,
sd,snd,,snd,,Sindhi,Individual,Living,سنڌي / सिन्धी / ਸਿੰਧੀ,
,snk,,snk,,Soninke,Individual,Living,Sooninkanxanne,
,sog,,sog,,Sogdian,Individual,Ancient,,
so,som,,som,,Somali,Individual,Living,af Soomaali,
,son,,,son,Songhai languages,Collective,,,Songhay languages
st,sot,,sot,,"Sotho, Southern",Individual,Living,Sesotho (southern),
es,spa,,spa,,Spanish; Castilian,Individual,Living,español; castellano,
sq,sqi,alb,sqi,,Albanian,Macrolanguage,Living,Shqip,
sc,srd,,srd,,Sardinian,Macrolanguage,Living,sardu; limba sarda; lingua sarda,
,srn,,srn,,Sranan Tongo,Individual,Living,,
sr,srp,,srp,,Serbian,Individual,Living,српски / srpski,
,srr,,srr,,Serer,Individual,Living,Seereer,
,ssa,,,ssa,Nilo-Saharan languages,Collective,,,
ss,ssw,,ssw,,Swati,Individual,Living,siSwati,Swazi
,suk,,suk,,Sukuma,Individual,Living,Kɪsukuma,
su,sun,,sun,,Sundanese,Individual,Living,ᮘᮞ ᮞᮥᮔ᮪ᮓ / Basa Sunda,
,sus,,sus,,Susu,Individual,Living,Sosoxui,
,sux,,sux,,Sumerian,Individual,Ancient,𒅴𒂠,
sw,swa,,swa,,Swahili,Macrolanguage,Living,Kiswahili,
sv,swe,,swe,,Swedish,Individual,Living,svenska,
,syc,,syc,,Classical Syriac,Individual,Historical,,
,syr,,syr,,Syriac,Macrolanguage,Living,ܠܫܢܐ ܣܘܪܝܝܐ Lešānā Suryāyā,
ty,tah,,tah,,Tahitian,Individual,Living,Reo Tahiti; Reo Mā'ohi,
,tai,,,tai,Tai languages,Collective,,ภาษาไท; ภาษาไต,
ta,tam,,tam,,Tamil,Individual,Living,தமிழ் Tamił,
tt,tat,,tat,,Tatar,Individual,Living,татар теле / tatar tele / تاتار,
te,tel,,tel,,Telugu,Individual,Living,తెలుగు Telugu,
,tem,,tem,,Timne,Individual,Living,KʌThemnɛ,Temne
,ter,,ter,,Tereno,Individual,Living,Terêna,Terena
,tet,,tet,,Tetum,Individual,Living,Lia-Tetun,
tg,tgk,,tgk,,Tajik,Individual,Living,тоҷикӣ toçikī,
tl,tgl,,tgl,,Tagalog,Individual,Living,Wikang Tagalog,
th,tha,,tha,,Thai,Individual,Living,ภาษาไทย Phasathay,
,tig,,tig,,Tigre,Individual,Living,ትግረ; ትግሬ; ኻሳ; ትግራይት,
ti,tir,,tir,,Tigrinya,Individual,Living,ትግርኛ,
,tiv,,tiv,,Tiv,Individual,Living,,
,tkl,,tkl,,Tokelau,Individual,Living,,Tokelauan
,tlh,,tlh,,Klingon; tlhIngan-Hol,Individual,Constructed,,
,tli,,tli,,Tlingit,Individual,Living,Lingít,
,tmh,,tmh,,Tamashek,Macrolanguage,Living,,Tamasheq
,tog,,tog,,Tonga (Nyasa),Individual,Living,chiTonga,
to,ton,,ton,,Tonga (Tonga Islands),Individual,Living,lea faka-Tonga,Tongan
,tpi,,tpi,,Tok Pisin,Individual,Living,,
,tsi,,tsi,,Tsimshian,Individual,Living,,
tn,tsn,,tsn,,Tswana,Individual,Living,Setswana,
ts,tso,,tso,,Tsonga,Individual,Living,Xitsonga,
tk,tuk,,tuk,,Turkmen,Individual,Living,Türkmençe / Түркменче / تورکمن تیلی تورکمنچ; türkmen dili / түркмен дили,
,tum,,tum,,Tumbuka,Individual,Living,chiTumbuka,
,tup,,,tup,Tupi languages,Collective,,,Tupian languages
tr,tur,,tur,,Turkish,Individual,Living,Türkçe,
,tut,,,tut,Altaic languages,Collective,,,
,tvl,,tvl,,Tuvalu,Individual,Living,Te Ggana Tuuvalu; Te Gagana Tuuvalu,Tuvaluan
tw,twi,,twi,,Twi,Individual,Living,,
,tyv,,tyv,,Tuvinian,Individual,Living,тыва дыл,Tuvan
,udm,,udm,,Udmurt,Individual,Living,удмурт кыл,
,uga,,uga,,Ugaritic,Individual,Ancient,,
ug,uig,,uig,,Uighur; Uyghur,Individual,Living,ئۇيغۇرچە ; ئۇيغۇر تىلى,
uk,ukr,,ukr,,Ukrainian,Individual,Living,українська мова ukraïns'ka mova,
,umb,,umb,,Umbundu,Individual,Living,Úmbúndú,
,und,,und,,Undetermined,Special,,,
ur,urd,,urd,,Urdu,Individual,Living,اُردُو Urduw,
uz,uzb,,uzb,,Uzbek,Macrolanguage,Living,Oʻzbekcha / Ózbekça / ўзбекча / ئوزبېچه; oʻzbek tili / ўзбек тили / ئوبېک تیلی,
,vai,,vai,,Vai,Individual,Living,ꕙꔤ,
ve,ven,,ven,,Venda,Individual,Living,Tshivenḓa,
vi,vie,,vie,,Vietnamese,Individual,Living,Tiếng Việt,
vo,vol,,vol,,Volapük,Individual,Constructed,,
,vot,,vot,,Votic,Individual,Living,vađđa ceeli,
,wak,,,wak,Wakashan languages,Collective,,,
,wal,,wal,,Wolaitta; Wolaytta,Individual,Living,,
,war,,war,,Waray,Individual,Living,Winaray; Samareño; Lineyte-Samarnon; Binisayâ nga Winaray; Binisayâ nga Samar-Leyte; “Binisayâ nga Waray”,
,was,,was,,Washo,Individual,Living,wá:šiw ʔítlu,
,wen,,,wen,Sorbian languages,Collective,,Serbsce / Serbski,
wa,wln,,wln,,Walloon,Individual,Living,Walon,
wo,wol,,wol,,Wolof,Individual,Living,,
,xal,,xal,,Kalmyk; Oirat,Individual,Living,Хальмг келн / Xaľmg keln,
xh,xho,,xho,,Xhosa,Individual,Living,isiXhosa,
,yao,,yao,,Yao,Individual,Living,,
,yap,,yap,,Yapese,Individual,Living,,
yi,yid,,yid,,Yiddish,Macrolanguage,Living,ייִדיש; יידיש; אידיש Yidiš,
yo,yor,,yor,,Yoruba,Individual,Living,èdè Yorùbá,
,ypk,,,ypk,Yupik languages,Collective,,,
,zap,,zap,,Zapotec,Macrolanguage,Living,Diidxazá,
,zbl,,zbl,,Blissymbols; Blissymbolics; Bliss,Individual,Constructed,,
,zen,,zen,,Zenaga,Individual,Living,Tuḍḍungiyya,
,zgh,,zgh,,Standard Moroccan Tamazight,Individual,Living,ⵜⴰⵎⴰⵣⵉⵖⵜ ⵜⴰⵏⴰⵡⴰⵢⵜ,Standard Moroccan Berber
za,zha,,zha,,Zhuang; Chuang,Macrolanguage,Living,Vahcuengh / 話僮,
zh,zho,chi,zho,,Chinese,Macrolanguage,Living,中文 Zhōngwén; 汉语; 漢語 Hànyǔ,
,znd,,,znd,Zande languages,Collective,,,
zu,zul,,zul,,Zulu,Individual,Living,isiZulu,
,zun,,zun,,Zuni,Individual,Living,Shiwi'ma,
,zxx,,zxx,,No linguistic content; Not applicable,Special,,,
,zza,,zza,,Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki,Macrolanguage,Living,kirmanckî; dimilkî; kirdkî; zazakî,
